DATETIME,RTC_TEMP_C,TEMP_C,PHOTO,BATTERY_LEVEL
2014-08-08 18:35:40,24.75,23.03,981,706
2014-08-08 18:35:45,24.75,23.11,734,706
2014-08-08 18:35:50,24.75,23.03,730,706
2014-08-08 18:35:56,24.75,22.94,775,706
2014-08-08 18:36:01,24.75,22.94,807,706
2014-08-08 18:36:06,24.75,22.94,829,706
2014-08-08 18:36:12,24.75,22.94,820,706
2014-08-08 18:36:17,24.75,22.94,810,706
2014-08-08 18:36:22,24.75,22.94,819,706
2014-08-08 18:36:28,24.75,22.94,817,706
2014-08-08 18:36:33,24.75,22.94,822,706
2014-08-08 18:36:38,24.75,22.85,831,706
2014-08-08 18:36:44,24.75,22.85,842,706
2014-08-08 18:36:49,24.75,22.85,816,706
2014-08-08 18:36:54,24.75,22.85,844,706
2014-08-08 18:37:00,24.75,22.85,831,706
2014-08-08 18:37:05,24.75,22.85,842,706
2014-08-08 18:37:10,24.75,22.85,843,706
2014-08-08 18:37:16,24.75,22.85,834,706
2014-08-08 18:37:21,24.75,22.85,834,706
2014-08-08 18:37:26,24.75,22.85,826,706
2014-08-08 18:37:32,24.75,22.85,825,706
2014-08-08 18:37:37,24.75,22.85,801,706
2014-08-08 18:37:42,24.75,22.85,847,706
2014-08-08 18:37:48,24.75,22.85,829,706
2014-08-08 18:37:53,24.75,22.85,700,706
2014-08-08 18:37:58,25.00,22.85,605,706
2014-08-08 18:38:04,25.00,22.84,460,706
2014-08-08 18:38:09,25.00,22.85,593,706
2014-08-08 18:38:14,25.00,22.85,612,706
2014-08-08 18:38:20,25.00,22.85,608,706
2014-08-08 18:38:25,25.00,22.85,602,706
2014-08-08 18:38:30,25.00,22.85,598,706
2014-08-08 18:38:36,25.00,22.85,595,706
2014-08-08 18:38:41,25.00,22.94,593,706
2014-08-08 18:38:46,25.00,22.94,590,706
2014-08-08 18:38:52,25.00,22.94,589,706
2014-08-08 18:38:57,25.00,22.94,390,706
2014-08-08 18:39:02,24.75,22.94,661,706
2014-08-08 18:39:08,24.75,22.94,794,706
2014-08-08 18:39:13,24.75,22.94,668,706
2014-08-08 18:39:18,24.75,22.94,845,706
2014-08-08 18:39:24,24.75,22.96,802,706
2014-08-08 18:39:29,24.75,22.94,814,706
2014-08-08 18:39:34,24.75,22.94,827,706
2014-08-08 18:39:40,24.75,22.94,619,706
2014-08-08 18:39:45,24.75,22.94,868,706
2014-08-08 18:39:50,24.75,22.77,908,706
2014-08-08 18:39:56,24.75,22.77,899,706
2014-08-08 18:40:01,24.75,22.77,900,706
2014-08-08 18:40:06,24.75,22.77,900,706
2014-08-08 18:40:12,24.75,22.78,905,706
2014-08-08 18:40:17,24.75,22.85,906,706
2014-08-08 18:40:22,24.75,22.85,904,706
2014-08-08 18:40:28,24.75,22.85,905,706
2014-08-08 18:40:33,24.75,22.92,902,706
2014-08-08 18:40:38,24.75,22.94,905,706
2014-08-08 18:40:44,24.75,22.94,904,706
2014-08-08 18:40:49,24.75,22.94,655,706
2014-08-08 18:40:54,24.75,23.11,316,706
2014-08-08 18:41:00,24.75,23.11,300,706
2014-08-08 18:41:05,24.75,23.03,239,706
2014-08-08 18:41:10,25.00,22.94,191,706
2014-08-08 18:41:16,25.00,23.03,232,706
2014-08-08 18:41:21,25.00,22.94,88,706
2014-08-08 18:41:26,25.00,22.94,101,706
2014-08-08 18:41:32,25.00,22.94,108,706
2014-08-08 18:41:37,25.00,22.85,108,706
2014-08-08 18:41:42,25.00,22.85,110,706
2014-08-08 18:41:48,25.00,22.85,109,706
2014-08-08 18:41:53,25.00,22.85,126,706
2014-08-08 18:41:58,25.00,22.85,205,706
